A supplementary material to the paper

Investigation of the B^1\Pi state in NaCs by polarisation labelling spectroscopy 

Authors: A.Grochola, P.Kowalczyk (c), W.Jastrzebski
(c) Corresponding author: e-mail address pfkowal@fuw.edu.pl

++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Table 1.  Experimental energies of rovibrational levels in the B^1\Pi state (Eexp)
and the corresponding values calculated from the IPA potential (Ecalc), in cm-1.
Diff are the differences Eexp-Ecalc. In the fit of the potential energy curve
of the B^1\Pi state only the levels with flag=1 were used.
	  
    N   v   J      Eexp            Ecalc       Diff   flag
  528  12  35    15992.20158    15992.32625   -.12467  1
  529  13  35    16029.20158    16029.12937    .07221  1
  530  14  35    16064.97158    16064.89095    .08063  1
  531  15  35    16099.86158    16099.62739    .23419  1
  532  16  35    16133.44158    16133.33764    .10394  1
  533  17  35    16166.09158    16166.00802    .08356  1
  534  18  35    16197.69158    16197.62295    .06863  1
  535  21  35    16286.00786    16285.96542    .04244  1
  536  22  35    16313.27786    16313.18828    .08958  1
  537  23  35    16339.33786    16339.28372    .05414  1
  538  24  35    16364.32786    16364.25919    .06867  1
  539  25  35    16388.03786    16388.11142   -.07356  1
  540  26  35    16410.67786    16410.80139   -.12353  1
  541  27  35    16431.97786    16432.24135   -.26349  1
  542  28  35    16452.32786    16452.34541   -.01755  1
  543  29  35    16471.53786    16471.16109    .37677  1
  544  30  35    16489.84786    16488.92831    .91955  6
  545  32  35    16521.52786    16522.10280   -.57494  6
  546  33  35    16537.47786    16537.57465   -.09679  1
  547  34  35    16552.24786    16552.27312   -.02526  1
  548  35  35    16566.08786    16566.13770   -.04984  1
  549  36  35    16579.14786    16579.11240    .03546  1
  550  37  35    16590.02786    16591.20112  -1.17326  6
  551  38  35    16602.17786    16602.47246   -.29460  1
  552  39  35    16612.94786    16613.01202   -.06416  1
  553  40  35    16622.86786    16622.89175   -.02389  1
  554  41  35    16632.08786    16632.09922   -.01136  1
  555  42  35    16640.27786    16640.57349   -.29563  1
  556  43  35    16648.03786    16648.25540   -.21754  1
  557  44  35    16655.15786    16655.16737   -.00951  1
  558  45  35    16661.52786    16661.43682    .09104  1
  559  46  35    16667.14786    16667.12635    .02151  1
  560  47  35    16672.03786    16672.14140   -.10354  1
  561   0  36    15454.95550    15454.93667    .01883  1
  562   1  36    15507.37550    15507.42576   -.05026  1
  563   2  36    15558.56550    15558.59635   -.03085  1
  564   3  36    15608.40550    15608.42207   -.01657  1
  565   4  36    15656.94550    15656.94464    .00086  1
  566   5  36    15704.14550    15704.10872    .03678  1
  567   6  36    15749.74550    15749.77045   -.02495  1
  568   7  36    15793.90550    15793.88558    .01992  1
  569   8  36    15836.51550    15836.55717   -.04167  1
  570   9  36    15877.76550    15877.90321   -.13771  1
  571  10  36    15917.79550    15918.00685   -.21135  1
  572  11  36    15956.78550    15956.94755   -.16205  1
  573  12  36    15994.57550    15994.76937   -.19387  1
  574  13  36    16031.47550    16031.51730   -.04180  1
  575  14  36    16067.32550    16067.22573    .09977  1
  576  15  36    16102.07550    16101.91038    .16512  1
  577  16  36    16135.69550    16135.56971    .12579  1
  578  17  36    16168.34550    16168.18977    .15573  1
  579  18  36    16199.88550    16199.75464    .13086  1
  580  19  36    16230.27550    16230.24650    .02900  1
  581  20  36    16259.69550    16259.65033    .04517  1
  582  21  36    16287.99550    16287.94711    .04839  1
  583  22  36    16315.21550    16315.11958    .09592  1
  584  23  36    16341.22550    16341.16472    .06078  1
  585  24  36    16366.13550    16366.08991    .04559  1
  586  25  36    16389.81550    16389.89114   -.07564  1
  587  26  36    16412.31550    16412.52790   -.21240  1
  588  27  36    16433.63550    16433.91097   -.27547  1
  589  28  36    16453.81550    16453.95597   -.14047  1
  590  29  36    16473.07550    16472.71636    .35914  1
  591  30  36    16491.41550    16490.43675    .97875  6
  592  31  36    16505.49550    16507.34978  -1.85428  6
  593  32  36    16523.00550    16523.52755   -.52205  6
  594  33  36    16538.81550    16538.95663   -.14113  1
  595  34  36    16553.53550    16553.61066   -.07516  1
  596  35  36    16567.37550    16567.42726   -.05176  1
  597  36  36    16580.40550    16580.35212    .05338  1
  598  38  36    16603.26550    16603.61628   -.35078  1
  599  39  36    16614.04550    16614.11237   -.06687  1
  600  40  36    16623.98550    16623.94928    .03622  1
  601  41  36    16633.09240    16633.11081   -.01841  1
  602  42  36    16641.63240    16641.53466    .09774  1
  603  43  36    16648.97240    16649.16263   -.19023  1
  604  44  36    16656.04240    16656.02400    .01840  1
  605  45  36    16662.33240    16662.24804    .08436  1
  606  46  36    16667.91240    16667.88958    .02282  1
  607  47  36    16672.74240    16672.84492   -.10252  1
  608  48  36    16676.70240    16677.00359   -.30119  1
  609  49  36    16680.40240    16680.44546   -.04306  1
  610  50  36    16683.28240    16683.26756    .01484  1
  611  51  36    16685.65240    16685.47935    .17305  1
  612   0  37    15458.19596    15458.15723    .03873  1
  613   1  37    15510.62596    15510.60591    .02005  1
  614   2  37    15561.80596    15561.73088    .07508  1
  615  17  37    16170.49591    16170.43105    .06486  1
  616  18  37    16202.02591    16201.94444    .08147  1
  617  19  37    16232.41591    16232.38497    .03094  1
  618  20  37    16261.80591    16261.73745    .06846  1
  619  21  37    16290.02591    16289.98261    .04330  1
  620  22  37    16317.15591    16317.10323    .05268  1
  621  23  37    16343.15591    16343.09663    .05928  1
  622  24  37    16368.00591    16367.97009    .03582  1
  623  25  37    16391.61591    16391.71881   -.10290  1
  624  26  37    16414.01591    16414.30072   -.28481  1
  625  27  37    16435.34591    16435.62513   -.27922  1
  626  28  37    16455.51591    16455.60936   -.09345  1
  627  29  37    16474.72591    16474.31308    .41283  1
  628  30  37    16493.00591    16491.98551   1.02040  6
  629  32  37    16524.49591    16524.99029   -.49438  1
  630  33  37    16540.26591    16540.37530   -.10939  1
  631  34  37    16554.93591    16554.98346   -.04755  1
  632  35  37    16568.63591    16568.75054   -.11463  1
  633  36  37    16581.72591    16581.62405    .10186  1
  634  37  37    16592.62591    16593.61298   -.98707  6
  635  38  37    16604.48591    16604.78969   -.30378  1
  636  39  37    16615.18591    16615.24113   -.05522  1
  637  40  37    16625.02591    16625.03387   -.00796  1
  638  41  37    16634.11591    16634.14789   -.03198  1
  639  42  37    16642.73591    16642.51951    .21640  1
  640  43  37    16649.92591    16650.09185   -.16594  1
  641  44  37    16656.88591    16656.90140   -.01549  1
  642  45  37    16663.14591    16663.07875    .06716  1
  643  46  37    16668.67591    16668.67025    .00566  1
  644  47  37    16673.46591    16673.56312   -.09721  1
  645  48  37    16677.47591    16677.65397   -.17806  1
  646  49  37    16680.97591    16681.03432   -.05841  1
  647  50  37    16683.82591    16683.79146    .03445  1
  648  51  37    16685.98591    16685.93436    .05155  1
  649  52  37    16687.38591    16687.47924   -.09333  1
  650   0  38    15461.44667    15461.46348   -.01681  1
  651   1  38    15513.85267    15513.87063   -.01796  1
  652   2  38    15564.95667    15564.94872    .00795  1
  653   3  38    15614.67667    15614.67232    .00435  1
  654   4  38    15663.06667    15663.08280   -.01613  1
  655   5  38    15710.14667    15710.12205    .02462  1
  656   6  38    15755.69667    15755.64779    .04888  1
  657   7  38    15799.61667    15799.62207   -.00540  1
  658   8  38    15842.18667    15842.15472    .03195  1
  659   9  38    15883.10667    15883.36503   -.25836  1
  660  10  38    15923.04667    15923.33843   -.29176  1
  661  11  38    15961.91667    15962.15412   -.23745  1
  662  12  38    15999.68667    15999.85611   -.16944  1
  663  13  38    16036.36667    16036.48909   -.12242  1
  664  14  38    16072.06667    16072.08676   -.02009  1
  665  15  38    16106.72667    16106.66346    .06321  1
  666  16  38    16140.38667    16140.21665    .17002  1
  667  17  38    16172.83667    16172.73177    .10490  1
  668  18  38    16204.24667    16204.19224    .05443  1
  669  19  38    16234.62667    16234.58002    .04665  1
  670  20  38    16263.98093    16263.87973    .10120  1
  671  21  38    16292.13093    16292.07181    .05912  1
  672  22  38    16319.23093    16319.13914    .09179  1
  673  23  38    16345.14093    16345.07934    .06159  1
  674  24  38    16369.88093    16369.89962   -.01869  1
  675  25  38    16393.47093    16393.59430   -.12337  1
  676  26  38    16415.84093    16416.11971   -.27878  1
  677  27  38    16437.08093    16437.38367   -.30274  1
  678  28  38    16457.21093    16457.30541   -.09448  1
  679  29  38    16476.36093    16475.95110    .40983  1
  680  30  38    16494.64093    16493.57447   1.06646  6
  681  32  38    16526.02093    16526.49086   -.46993  1
  682  33  38    16541.71093    16541.83050   -.11957  1
  683  34  38    16556.27093    16556.39136   -.12043  1
  684  35  38    16570.03093    16570.10738   -.07645  1
  685  36  38    16583.00093    16582.92801    .07292  1
  686  37  38    16593.97093    16594.86501   -.89408  6
  687  38  38    16605.69093    16605.99251   -.30158  1
  688  39  38    16616.30093    16616.39814   -.09721  1
  689  40  38    16626.11093    16626.14532   -.03439  1
  690  41  38    16635.19093    16635.21019   -.01926  1
  691  42  38    16642.85093    16643.52779   -.67686  6
  692  43  38    16650.84093    16651.04278   -.20185  1
  693  44  38    16657.77093    16657.79933   -.02840  1
  694  45  38    16663.90093    16663.92868   -.02775  1
  695  46  38    16669.39093    16669.46792   -.07699  1
  696  47  38    16674.15093    16674.29549   -.14456  1
  697   7  40    15805.57662    15805.65914   -.08252  1
  698   8  40    15847.93662    15848.04575   -.10913  1
  699   9  40    15888.64662    15889.11332   -.46670  1
  700  10  40    15928.37662    15928.94971   -.57309  6
  701  11  40    15967.19662    15967.63380   -.43718  1
  702  12  40    16004.87662    16005.20962   -.33300  1
  703  16  40    16145.17662    16145.10670    .06992  1
  704  17  40    16177.62662    16177.51115    .11547  1
  705  18  40    16208.96662    16208.86148    .10514  1
  706  19  40    16239.22662    16239.13946    .08716  1
  707  20  40    16268.42662    16268.32928    .09734  1
  708  21  40    16296.48662    16296.41083    .07579  1
  709  22  40    16323.43662    16323.36723    .06939  1
  710  23  40    16349.27662    16349.19669    .07993  1
  711  24  40    16373.84662    16373.90618   -.05956  1
  712  25  40    16397.39662    16397.48819   -.09157  1
  713  26  40    16419.54662    16419.89558   -.34896  1
  714  27  40    16440.68662    16441.03324   -.34662  1
  715  28  40    16460.71662    16460.82483   -.10821  1
  716  29  40    16479.75662    16479.35046    .40616  1
  717  30  40    16498.00662    16496.87254   1.13408  6
  718  32  40    16529.08662    16529.60484   -.51822  6
  719  33  40    16544.61662    16544.84985   -.23323  1
  720  34  40    16559.13662    16559.31173   -.17511  1
  721  35  40    16572.83662    16572.92092   -.08430  1
  722  36  40    16585.79662    16585.63120    .16542  1
  723  37  40    16596.68662    16597.46029   -.77367  6
  724  39  40    16618.66662    16618.79609   -.12947  1
  725  40  40    16628.37662    16628.44791   -.07129  1
  726  41  40    16637.39662    16637.40948   -.01286  1
  727  43  40    16652.77662    16653.00863   -.23201  1
  728  44  40    16659.57662    16659.65571   -.07909  1
  729  45  40    16665.68662    16665.68496    .00166  1
  730  46  40    16671.06662    16671.11251   -.04589  1
  731  48  40    16679.49662    16679.67571   -.17909  1
  732  49  40    16682.84662    16682.85910   -.01248  1
  733  50  40    16685.37662    16685.40352   -.02690  1
  734  51  40    16686.88662    16687.31739   -.43077  1
  735   1  41    15524.15038    15524.17112   -.02074  1
  736   2  41    15575.06038    15575.10103   -.04065  1
  737   3  41    15624.63038    15624.66131   -.03093  1
  738   4  41    15672.94038    15672.89258    .04780  1
  739   5  41    15719.76038    15719.73216    .02822  1
  740   6  41    15765.05038    15765.04059    .00979  1
  741   7  41    15808.68038    15808.79012   -.10974  1
  742   8  41    15850.95038    15851.10106   -.15068  1
  743   9  41    15891.52038    15892.09465   -.57427  6
  744  10  41    15931.27038    15931.85998   -.58960  6
  745  11  41    15969.98038    15970.47583   -.49545  1
  746  12  41    16007.50038    16007.98620   -.48582  1
  747  13  41    16044.39038    16044.43528   -.04490  1
  748  14  41    16079.94038    16079.85569    .08469  1
  749  15  41    16114.38038    16114.25954    .12084  1
  750  16  41    16147.82038    16147.64266    .17772  1
  751  17  41    16180.14038    16179.98961    .15077  1
  752  18  41    16211.43038    16211.28272    .14766  1
  753  19  41    16241.65038    16241.50363    .14675  1
  754  20  41    16270.78038    16270.63635    .14403  1
  755  21  41    16298.73038    16298.66044    .06994  1
  756  22  41    16325.62038    16325.55918    .06120  1
  757  23  41    16351.44038    16351.33108    .10930  1
  758  24  41    16375.95038    16375.98297   -.03259  1
  759  25  41    16399.30038    16399.50632   -.20594  1
  760  26  41    16421.51038    16421.85216   -.34178  1
  761  27  41    16442.51038    16442.92392   -.41354  1
  762  28  41    16462.53038    16462.64785   -.11747  1
  763  30  41    16495.24038    16498.58135  -3.34097  6
  764  31  41    16513.89038    16515.26700  -1.37662  6
  765  32  41    16530.69038    16531.21799   -.52761  6
  766  33  41    16546.19038    16546.41369   -.22331  1
  767  34  41    16560.64038    16560.82382   -.18344  1
  768  35  41    16574.25038    16574.37722   -.12684  1
  769  37  41    16598.02038    16598.80311   -.78273  6
  770  38  41    16609.42038    16609.77547   -.35509  1
  771  16  45    16158.44875    16158.39042    .05833  1
  772  17  45    16190.56875    16190.49292    .07583  1
  773  18  45    16221.67875    16221.54267    .13608  1
  774  19  45    16251.65875    16251.52086    .13789  1
  775  20  45    16280.54875    16280.41051    .13824  1
  776  21  45    16308.24875    16308.19004    .05871  1
  777  22  45    16334.87875    16334.84338    .03537  1
  778  23  45    16360.36875    16360.37038   -.00163  1
  779  24  45    16384.66875    16384.77692   -.10817  1
  780  25  45    16407.71875    16408.04983   -.33108  1
  781  26  45    16429.59875    16430.13204   -.53329  6
  782  27  45    16450.47875    16450.92154   -.44279  1
  783  28  45    16470.18875    16470.35779   -.16904  1
  784  29  45    16489.16875    16488.56127    .60748  6
  785  32  45    16537.58875    16538.04098   -.45223  1
  786  33  45    16552.71875    16553.02599   -.30724  1
  787  34  45    16566.93875    16567.21357   -.27482  1
  788  35  45    16580.45875    16580.52764   -.06889  1
  789  37  45    16603.73875    16604.47070   -.73195  6
  790  38  45    16614.83875    16615.21909   -.38034  1
  791  39  45    16625.05875    16625.27072   -.21197  1
  792  40  45    16634.59875    16634.65778   -.05903  1
  793  42  45    16650.75875    16651.21485   -.45610  1
  794  43  45    16657.99875    16658.28250   -.28375  1
  795  44  45    16664.48875    16664.63647   -.14772  1
  796  45  45    16670.30875    16670.38811   -.07936  1
  797  47  45    16679.41875    16679.77156   -.35281  1
  798  48  45    16683.17875    16683.24915   -.07040  1
  799  49  45    16686.00875    16686.04908   -.04033  1
  800  50  45    16688.40875    16688.16742    .24133  1
  801   0  46    15491.01452    15490.98515    .02937  1
  802   1  46    15542.96452    15543.01906   -.05454  1
  803   2  46    15593.64452    15593.67671   -.03219  1
  804   4  46    15690.81452    15690.84076   -.02624  1
  805   5  46    15737.42452    15737.31440    .11012  1
  806   6  46    15782.01452    15782.22530   -.21078  1
  807   7  46    15824.70452    15825.56478   -.86026  6
  808   8  46    15866.05452    15867.47121  -1.41669  6
  809   9  46    15906.45452    15908.06893  -1.61441  6
  810  10  46    15945.92452    15947.45402  -1.52950  6
  811  11  46    15984.45452    15985.70400  -1.24948  6
  812  12  46    16021.96452    16022.86344   -.89892  6
  813  13  46    16058.37452    16058.97552   -.60100  6
  814  14  46    16093.59452    16094.07073   -.47621  1
  815  15  46    16128.09894    16128.15721   -.05827  1
  816  16  46    16161.28894    16161.22780    .06114  1
  817  17  46    16193.42894    16193.26556    .16338  1
  818  18  46    16224.40894    16224.25083    .15811  1
  819  19  46    16254.32894    16254.16470    .16424  1
  820  20  46    16283.15894    16282.98991    .16903  1
  821  21  46    16310.77894    16310.70458    .07436  1
  822  22  46    16337.34894    16337.29287    .05607  1
  823  23  46    16362.73894    16362.75495   -.01601  1
  824  24  46    16387.15894    16387.09638    .06256  1
  825  25  46    16409.90894    16410.30265   -.39371  1
  826  26  46    16431.77894    16432.31450   -.53556  6
  827  27  46    16452.53894    16453.02868   -.48974  1
  828  28  46    16472.29894    16472.38879   -.08985  1
  829  29  46    16491.15894    16490.52428    .63466  6
  830  31  46    16523.01894    16524.14649  -1.12755  6
  831  32  46    16539.29894    16539.83849   -.53955  6
  832  33  46    16554.41894    16554.76737   -.34843  1
  833  34  46    16568.63894    16568.89526   -.25632  1
  834  36  46    16593.02894    16594.48755  -1.45861  6
  835  37  46    16605.22894    16605.96052   -.73158  6
  836  38  46    16616.22894    16616.64993   -.42099  1
  837  39  46    16626.35894    16626.64605   -.28711  1
  838  40  46    16635.87894    16635.97530   -.09636  1
  839  41  46    16643.72894    16644.58380   -.85486  6
  840  42  46    16651.89894    16652.39877   -.49983  1
  841  43  46    16659.07894    16659.39635   -.31741  1
  842  44  46    16665.48894    16665.68839   -.19945  1
  843  45  46    16671.17894    16671.37894   -.20000  1
  844  46  46    16675.84894    16676.40191   -.55297  6
  845  18  50    16235.74361    16235.65257    .09104  1
  846  19  50    16265.35361    16265.29445    .05916  1
  847  20  50    16294.07361    16293.84697    .22664  1
  848  21  50    16321.30361    16321.28719    .01642  1
  849  22  50    16347.55361    16347.60029   -.04668  1
  850  23  50    16372.66361    16372.78773   -.12412  1
  851  24  50    16396.44361    16396.85333   -.40972  1
  852  25  50    16419.14361    16419.77650   -.63289  6
  853  26  50    16440.81361    16441.48833   -.67472  6
  854  27  50    16461.34361    16461.88176   -.53815  6
  855  28  50    16480.84361    16480.92090   -.07729  1
  856  29  50    16499.60361    16498.77369    .82992  6
  857  31  50    16530.92361    16531.92919  -1.00558  6
  858  32  50    16546.79361    16547.38981   -.59620  6
  859  33  50    16561.61361    16562.07988   -.46627  1
  860  34  50    16575.61361    16575.95198   -.33837  1
  861  35  50    16589.06361    16588.92942    .13419  1
  862  36  50    16599.75361    16600.99519  -1.24158  6
  863  37  50    16611.45361    16612.20418   -.75057  6
  864  38  50    16622.16361    16622.64606   -.48245  1
  865  39  50    16632.09361    16632.40661   -.31300  1
  866  40  50    16641.45361    16641.48695   -.03334  1
  867  41  50    16649.06361    16649.82004   -.75643  6
  868  42  50    16656.79361    16657.33349   -.53988  6
  869  43  50    16663.75361    16664.03752   -.28391  1
  870  44  50    16669.78361    16670.07005   -.28644  1
  871   1  51    15563.90223    15563.95336   -.05113  1
  872   2  51    15614.25103    15614.30675   -.05572  1
  873   3  51    15663.24223    15663.23450    .00773  1
  874   3  51    15663.35103    15663.23450    .11653  1
  875   4  51    15710.85223    15710.77225    .07998  1
  876   4  51    15710.79103    15710.77225    .01878  1
  877   5  51    15756.42223    15756.83840   -.41617  1
  878   5  51    15756.43103    15756.83840   -.40737  1
  879   6  51    15799.64223    15801.30784  -1.66561  6
  880  11  51    16000.31103    16002.61914  -2.30811  6
  881  12  51    16037.62103    16039.38843  -1.76740  6
  882  13  51    16074.03103    16075.12543  -1.09440  6
  883  15  51    16143.15103    16143.59042   -.43939  1
  884  16  51    16176.12103    16176.31179   -.19076  1
  885  17  51    16207.93103    16208.00377   -.07274  1
  886  18  51    16238.68103    16238.64463    .03640  1
  887  19  51    16268.25103    16268.21481    .03622  1
  888  21  51    16324.07103    16324.06322    .00781  1
  889  22  51    16350.14103    16350.30375   -.16272  1
  890  23  51    16375.20103    16375.41875   -.21772  1
  891  24  51    16398.96103    16399.41150   -.45047  1
  892  25  51    16421.58103    16422.25967   -.67864  6
  893  26  51    16443.15103    16443.89170   -.74067  6
  894  27  51    16463.59103    16464.19999   -.60896  6
  895  28  51    16483.05103    16483.15491   -.10388  1
  896  29  51    16496.84103    16500.93450  -4.09347  6
  897  30  51    16515.71103    16517.82549  -2.11446  6
  898  31  51    16532.80103    16533.96769  -1.16666  6
  899  32  51    16548.62103    16549.36699   -.74596  6
  900  33  51    16563.42103    16563.99363   -.57260  6
  901  34  51    16577.40103    16577.79735   -.39632  1
  902  36  51    16601.38103    16602.69518  -1.31415  6
  903  37  51    16612.92103    16613.83487   -.91384  6
  904  38  51    16623.60103    16624.21202   -.61099  6
  905  39  51    16633.52103    16633.91010   -.38907  1
  906  40  51    16641.48103    16642.92350  -1.44247  6
  907  41  51    16650.35103    16651.18218   -.83115  6
  908  42  51    16657.94103    16658.61482   -.67379  6
  909  43  51    16664.72103    16665.24250   -.52147  6
  910  44  51    16670.82103    16671.20689   -.38586  1
  911  45  51    16675.75103    16676.55410   -.80307  6
  912  46  51    16680.49103    16681.13659   -.64556  6
  913  47  51    16684.28103    16684.83380   -.55277  6
  914  48  51    16687.98103    16687.76421    .21682  1
 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Table 2. Parameters defining the IPA potential energy curve for the B^1\Pi state of NaCs.

R[A]     U[cm-1]
3.4    28303.3752      
3.6    19755.5597      
3.7    17921.4827      
3.8    16463.3209      
3.9    15787.6419      
4.0    15580.2126      
4.2    15417.0134      
4.4    15370.0231      
4.6    15394.9854      
4.8    15463.8153      
5.2    15649.2462      
5.6    15824.2158      
6.0    15981.0697      
6.4    16121.4339      
6.8    16239.3309      
7.2    16332.8827  
7.6    16404.7489  
8.0    16456.2907  
8.8    16538.1047  
9.6    16589.8797  
10.0   16624.5842  
11.2   16645.6826  
12.0   16660.1290  
12.8   16668.6771  
14.4   16677.7711  
16.0   16682.0108  
17.6   16684.0715  
19.2   16685.1259  
20.8   16685.6952  
22.4   16686.0165  
24.8   16686.2696  

R_out = 13.18506 A
U_inf = 16686.547 cm-1
C_6 = 5.16831E+07 cm-1 A^6
C_8 = 9.42143E+09 cm-1 A^8 
C_10 = -8.18828E+11 cm-1 A^10
